fry,class
d59510,HYDROLASE/HYDROLASE INHIBITOR
d59511,RIBOSOME
d59512,TRANSFERASE
d59513,Oxidoreductase/Oxidoreductase inhibitor
d59514,METAL TRANSPORT
d59515,TRANSFERASE
d59516,TRANSFERASE
d59517,CHAPERONE
d59518,CONTRACTILE PROTEIN
d59519,IMMUNE SYSTEM
d59520,VIRAL PROTEIN/IMMUNE SYSTEM
d59521,OXIDOREDUCTASE
d59522,HYDROLASE
d59523,LIGASE
d59524,CHAPERONE
d59525,TRANSFERASE
d59526,DNA
d59527,PROTEIN BINDING
d59528,VIRAL PROTEIN
d59529,Transferase/Transferase Inhibitor
d59530,TRANSFERASE
d59531,HYDROLASE
d59532,APOPTOSIS
d59533,DNA BINDING PROTEIN
d59534,OXIDOREDUCTASE
d59535,LIGASE
d59536,HYDROLASE
d59537,HYDROLASE
d59538,LECTIN
d59539,FLAVOPROTEIN
d59540,HYDROLASE
d59541,REPLICATION
d59542,OXIDOREDUCTASE
d59543,COMPLEX (PROTEINASE/INHIBITOR)
d59544,LECTIN (AGGLUTININ)
d59545,SIGNALING PROTEIN
d59546,STRUCTURAL PROTEIN
d59547,HYDROLASE/HYDROLASE INHIBITOR
d59548,PROTEIN BINDING
d59549,ISOMERASE
d59550,LIGASE
d59551,HYDROLASE
d59552,RNA BINDING PROTEIN/RNA
d59553,HYDROLASE
d59554,STRUCTURAL PROTEIN/DNA
d59555,TRANSCRIPTION
d59556,OXIDOREDUCTASE
d59557,HYDROLASE
d59558,HYDROLASE
d59559,TRANSFERASE/TRANSFERASE INHIBITOR
d59560,TRANSFERASE
d59561,OXIDOREDUCTASE
d59562,SIGNALING PROTEIN
d59563,HYDROLASE
d59564,IMMUNE SYSTEM
d59565,TRANSFERASE
d59566,OXIDOREDUCTASE
d59567,OXIDOREDUCTASE
d59568,TRANSFERASE
d59569,HORMONE RECEPTOR
d59570,METAL BINDING PROTEIN
d59571,PROTEIN BINDING
d59572,TRANSFERASE/RNA
d59573,IMMUNE SYSTEM
d59574,LYASE
d59575,CELL ADHESION
d59576,RIBOSOMAL PROTEIN/RNA
d59577,DE NOVO PROTEIN
d59578,IMMUNE SYSTEM
d59579,TRANSFERASE
d59580,HYDROLASE
d59581,HYDROLASE
d59582,HYDROLASE
d59583,TRANSFERASE
d59584,HYDROLASE
d59585,LYASE
d59586,NEUROPEPTIDE
d59587,HYDROLASE/DNA
d59588,OXIDOREDUCTASE
d59589,HYDROLASE
d59590,HYDROLASE
d59591,VIRAL PROTEIN/ANTIVIRAL PROTEIN
d59592,TRANSCRIPTION ACTIVATOR
d59593,TRANSFERASE
d59594,GENE REGULATION
d59595,HYDROLASE
d59596,DE NOVO PROTEIN
d59597,TRANSFERASE
d59598,METAL BINDING PROTEIN
d59599,TRANSFERASE
d59600,RIBOSOME
d59601,TRANSFERASE
d59602,HALIDE BINDING PROTEIN
d59603,HYDROLASE INHIBITOR
d59604,PROTEIN FIBRIL
d59605,DNA BINDING PROTEIN
d59606,SIGNALING PROTEIN
d59607,HYDROLASE
d59608,ELECTRON TRANSPORT
d59609,TRANSFERASE
d59610,HYDROLASE
d59611,VIRAL PROTEIN
d59612,SIGNALING PROTEIN
d59613,BIOTIN BINDING PROTEIN
d59614,HYDROLASE
d59615,VIRAL PROTEIN
d59616,HYDROLASE
d59617,OXIDOREDUCTASE
d59618,HYDROLASE
d59619,SIGNALING PROTEIN
d59620,ELECTRON TRANSPORT
d59621,OXIDOREDUCTASE
d59622,OXIDOREDUCTASE
d59623,TOXIN INHIBITOR
d59624,LIPID BINDING PROTEIN
d59625,CELL ADHESION
d59626,ISOMERASE
d59627,Hydrolase/Hydrolase Inhibitor
d59628,OXIDOREDUCTASE
d59629,HYDROLASE
d59630,IMMUNE SYSTEM
d59631,LUMINESCENT PROTEIN
d59632,HYDROLASE/DNA
d59633,CELL ADHESION
d59634,SIGNALING PROTEIN/Hydrolase
d59635,OXIDOREDUCTASE
d59636,TRANSFERASE
d59637,NEUROPEPTIDE
d59638,RNA
d59639,ISOMERASE
d59640,CHAPERONE
d59641,TRANSCRIPTION
d59642,IMMUNE SYSTEM
d59643,TRANSFERASE
d59644,VIRAL PROTEIN
d59645,VIRAL PROTEIN
d59646,OXIDOREDUCTASE
d59647,IMMUNE SYSTEM
d59648,PHOTOSYNTHESIS
d59649,TRANSPORT PROTEIN
d59650,TRANSFERASE
d59651,CELL ADHESION
d59652,RNA
d59653,LYASE
d59654,TRANSFERASE
d59655,TRANSFERASE/TRANSFERASE INHIBITOR
d59656,HYDROLASE
d59657,OXIDOREDUCTASE
d59658,TRANSPORT PROTEIN
d59659,HYDROLASE
d59660,TRANSFERASE
d59661,HYDROLASE
d59662,HYDROLASE/HYDROLASE INHIBITOR
d59663,TRANSPORT PROTEIN/ISOMERASE
d59664,ELECTRON TRANSPORT
d59665,ELECTRON TRANSPORT
d59666,OXIDOREDUCTASE
d59667,HYDROLASE
d59668,HYDROLASE
d59669,HYDROLASE
d59670,HYDROLASE
d59671,TRANSFERASE
d59672,OXIDOREDUCTASE
d59673,LYASE
d59674,ANTI-ONCOGENE
d59675,RIBOSOME
d59676,Transferase/RNA
d59677,HYDROLASE
d59678,OXIDOREDUCTASE
d59679,RNA/RNA
d59680,TRANSFERASE
d59681,TRANSCRIPTION
d59682,LUMINESCENT PROTEIN
d59683,METAL BINDING PROTEIN
d59684,ANTIVIRAL PROTEIN
d59685,RIBOSOME
d59686,HYDROLASE
d59687,HYDROLASE
d59688,TRANSCRIPTION/DNA
d59689,CELL ADHESION
d59690,TRANSFERASE
d59691,SUGAR BINDING PROTEIN
d59692,HYDROLASE
d59693,CHAPERONE
d59694,HYDROLASE
d59695,MEMBRANE PROTEIN
d59696,BIOSYNTHETIC PROTEIN
d59697,TRANSFERASE
d59698,DNA
d59699,HYDROLASE
d59700,OXYGEN BINDING
d59701,HYDROLASE
d59702,TRANSFERASE
d59703,OXIDOREDUCTASE
d59704,TRANSFERASE
d59705,TRANSFERASE
d59706,HYDROLASE
d59707,FLUORESCENT PROTEIN
d59708,TRANSCRIPTION
d59709,PEPTIDE RECOGNITION
d59710,LYASE(OXO-ACID)
d59711,TRANSFERASE
d59712,HYDROLASE
d59713,MEMBRANE PROTEIN
d59714,DNA BINDING PROTEIN/DNA
d59715,OXIDOREDUCTASE
d59716,APOPTOSIS/APOPTOSIS inhibitor
d59717,ISOMERASE
d59718,HYDROLASE
d59719,Transferase/DNA
d59720,HYDROLASE
d59721,DNA
d59722,HYDROLASE
d59723,PLANT PROTEIN
d59724,HYDROLASE
d59725,HYDROLASE/PROTEIN BINDING
d59726,TRANSPORT PROTEIN
d59727,HYDROLASE
d59728,TRANSFERASE
d59729,GENE REGULATION
d59730,TRANSCRIPTION
d59731,SIGNALING PROTEIN
d59732,STRUCTURAL PROTEIN
d59733,TRANSCRIPTION
d59734,DNA BINDING PROTEIN
d59735,MATRIX PROTEIN
d59736,METAL TRANSPORT
d59737,TRANSFERASE
d59738,HYDROLASE
d59739,LYASE
d59740,HYDROLASE/HYDROLASE INHIBITOR
d59741,HYDROLASE
d59742,HYDROLASE
d59743,LYASE
d59744,RIBOSOME
d59745,DNA
d59746,TRANSPORT PROTEIN
d59747,STRUCTURAL GENOMICS
d59748,SIGNALING PROTEIN/ANTAGONIST
d59749,HYDROLASE/HYDROLASE INHIBITOR
d59750,PROTEIN TRANSPORT
d59751,HYDROLASE/HYDROLASE INHIBITOR
d59752,SIGNALING PROTEIN
d59753,TRANSFERASE
d59754,LYASE
d59755,RNA binding protein/RNA
d59756,DNA
d59757,METAL BINDING PROTEIN
d59758,TRANSPORT PROTEIN
d59759,OXIDOREDUCTASE
d59760,DE NOVO PROTEIN
d59761,TRANSFERASE
d59762,HYDROLASE
d59763,IMMUNE SYSTEM
d59764,LYASE
d59765,STRUCTURAL GENOMICS
d59766,HYDROLASE
d59767,CELL CYCLE
d59768,TRANSFERASE/DNA BINDING PROTEIN
d59769,HYDROLASE
d59770,TRANSPORT PROTEIN
d59771,DNA BINDING PROTEIN/DNA
d59772,TRANSFERASE
d59773,DNA
d59774,APOPTOSIS
d59775,IMMUNE SYSTEM
d59776,HYDROLASE
d59777,ISOMERASE
d59778,TRANSFERASE
d59779,HYDROLASE
d59780,TRANSFERASE
d59781,HYDROLASE
d59782,VIRAL PROTEIN
d59783,HYDROLASE
d59784,STRUCTURAL GENOMICS
d59785,TRANSFERASE
d59786,LIGASE
d59787,SIGNAL TRANSDUCTION
d59788,ISOMERASE
d59789,TRANSFERASE (AMINOTRANSFERASE)
d59790,TRANSPORT PROTEIN
d59791,STRUCTURAL GENOMICS
d59792,SIGNALING PROTEIN
d59793,TRANSFERASE
d59794,LIGASE/RNA
d59795,RIBOSOME
d59796,CELL CYCLE
d59797,PROTEIN BINDING
d59798,TRANSCRIPTION/TRANSCRIPTION INHIBITOR
d59799,oxidoreductase/Inhibitor
d59800,TRANSFERASE
d59801,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR
d59802,OXIDOREDUCTASE
d59803,TRANSCRIPTION
d59804,HYDROLASE
d59805,OXIDOREDUCTASE
d59806,CYTOKINE
d59807,LYASE
d59808,PROTEIN BINDING
d59809,Ribosome/antibiotic
d59810,SOLUTE-BINDING PROTEIN
d59811,STRUCTURAL PROTEIN
d59812,TRANSFERASE
d59813,Transferase/Transferase Inhibitor
d59814,CELL CYCLE
d59815,HYDROLASE
d59816,IMMUNE SYSTEM
d59817,VIRAL PROTEIN
d59818,TRANSFERASE
d59819,HYDROLASE
d59820,HYDROLASE
d59821,HYDROLASE
d59822,DEFENSIN
d59823,HYDROLASE/HYDROLASE INHIBITOR
d59824,HYDROLASE(O-GLYCOSYL)
d59825,METAL BINDING PROTEIN
d59826,RECEPTOR
d59827,HYDROLASE
d59828,VIRAL PROTEIN
d59829,Transferase/transferase inhibitor
d59830,CELL ADHESION
d59831,IMMUNOGLOBULIN-BINDING PROTEIN
d59832,OXIDOREDUCTASE
d59833,OXIDOREDUCTASE
d59834,TRANSPORT PROTEIN
d59835,LYASE
d59836,HYDROLASE
d59837,FLUORESCENT PROTEIN
d59838,TRANSPORT PROTEIN
d59839,MEMBRANE PROTEIN
d59840,TOXIN
d59841,HYDROLASE
d59842,OXIDOREDUCTASE
d59843,HYDROLASE
d59844,TRANSFERASE
d59845,OXIDOREDUCTASE
d59846,OXIDOREDUCTASE
d59847,OXIDOREDUCTASE
d59848,HYDROLASE/DNA
d59849,HYDROLASE/HYDROLASE INHIBITOR
d59850,HYDROLASE
d59851,TRANSCRIPTION
d59852,TRANSFERASE
d59853,HYDROLASE
d59854,HYDROLASE
d59855,PROTEIN TRANSPORT
d59856,LIGASE
d59857,TRANSPORT PROTEIN
d59858,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR
d59859,NUCLEIC ACID BINDING PROTEIN/DNA/RNA
d59860,transferase/transferase inhibitor
d59861,HYDROLASE
d59862,BIOSYNTHETIC PROTEIN
d59863,LIGASE
d59864,LYASE
d59865,ENDONUCLEASE
d59866,TRANSPORT PROTEIN
d59867,DNA BINDING PROTEIN
d59868,ELECTRON TRANSPORT
d59869,PEPTIDE BINDING PROTEIN
d59870,TRANSCRIPTION
d59871,OXIDOREDUCTASE
d59872,OXIDOREDUCTASE
d59873,HYDROLASE
d59874,VIRUS
d59875,TRANSCRIPTION
d59876,dna binding protein/DNA
d59877,STRUCTURAL PROTEIN
d59878,OXIDOREDUCTASE
d59879,Viral protein/Immune system
d59880,LUMINESCENT PROTEIN
d59881,OXIDOREDUCTASE
d59882,Transferase/Transferase Inhibitor
d59883,TRANSFERASE/TRANSFERASE INHIBITOR
d59884,PROTEIN BINDING
d59885,ISOMERASE
d59886,OXIDOREDUCTASE
d59887,TRANSFERASE
d59888,MEMBRANE PROTEIN
d59889,TRANSPORT PROTEIN
d59890,TRANSCRIPTION
d59891,LYASE
d59892,TRANSFERASE
d59893,LIGASE
d59894,OXIDOREDUCTASE
d59895,IMMUNE SYSTEM
d59896,METAL BINDING PROTEIN
d59897,IMMUNE SYSTEM
d59898,PLANT PROTEIN
d59899,IMMUNE SYSTEM
d59900,HYDROLASE
d59901,OXIDOREDUCTASE
d59902,HYDROLASE
d59903,IMMUNE SYSTEM
d59904,TRANSFERASE
d59905,ONCOPROTEIN
d59906,HYDROLASE
d59907,HYDROLASE
d59908,DNA BINDING PROTEIN
d59909,OXIDOREDUCTASE
d59910,PENTOSYLTRANSFERASE
d59911,OXIDOREDUCTASE
d59912,BIOSYNTHETIC PROTEIN
d59913,HYDROLASE
d59914,DNA BINDING PROTEIN
d59915,TRANSFERASE
d59916,DIHYDROLIPOAMIDE ACETYLTRANSFERASE
d59917,RIBOSOME
d59918,OXIDOREDUCTASE
d59919,TRANSFERASE/INHIBITOR
d59920,HYDROLASE (O-GLYCOSYL)
d59921,transferase/DNA
d59922,OXIDOREDUCTASE
d59923,LYASE
d59924,RIBOSOME
d59925,HORMONE RECEPTOR
d59926,PROTEIN TRANSPORT
d59927,HYDROLASE(CARBOXYLIC ESTERASE)
d59928,LYASE
d59929,OXIDOREDUCTASE
d59930,TRANSPORT PROTEIN
d59931,HYDROLASE
d59932,TRANSCRIPTION/DNA-RNA HYBRID
d59933,IMMUNE SYSTEM
d59934,HYDROLASE
d59935,HYDROLASE
d59936,TRANSCRIPTION FACTOR
d59937,CELL CYCLE
d59938,CONTRACTILE PROTEIN
d59939,TRANSCRIPTION/INHIBITOR
d59940,TRANSFERASE
d59941,CELL CYCLE
d59942,TRANSCRIPTION
d59943,TRANSFERASE
d59944,NEUROPEPTIDE
d59945,LYASE/LYASE INHIBITOR
d59946,TRANSFERASE
d59947,ISOMERASE
d59948,HYDROLASE
d59949,ligase/RNA
d59950,COMPLEX (ISOMERASE/PEPTIDE)
d59951,VIRUS
d59952,PROTEIN TRANSPORT
d59953,TRANSCRIPTION REGULATOR
d59954,HYDROLASE
d59955,TRANSFERASE
d59956,OXIDOREDUCTASE
d59957,OXIDOREDUCTASE
d59958,HYDROLASE
d59959,Toxin
d59960,LYASE
d59961,TRANSFERASE
d59962,TRANSFERASE
d59963,Transferase/transferase inhibitor
d59964,LYASE(OXO-ACID)
d59965,HYDROLASE
d59966,ISOMERASE
d59967,TRANSCRIPTION
d59968,TOXIN
d59969,Lyase Activator
d59970,TRANSFERASE
d59971,CELL CYCLE
d59972,OXIDOREDUCTASE
d59973,TRANSFERASE
d59974,HYDROLASE/SIGNALING PROTEIN
d59975,HYDROLASE
d59976,LUMINESCENT PROTEIN
d59977,LYASE/LYASE INHIBITOR
d59978,HYDROLASE
d59979,HYDROLASE
d59980,HYDROLASE
d59981,ANTIMICROBIAL PROTEIN
d59982,METAL TRANSPORT
d59983,OXIDOREDUCTASE
d59984,PROTEIN BINDING
d59985,APOPTOSIS
d59986,TRANSFERASE/TRANSFERASE SUBSTRATE
d59987,VIRAL PROTEIN
d59988,TOXIN
d59989,TRANSCRIPTION/DNA
d59990,LYASE
d59991,IMMUNE SYSTEM
d59992,HYDROLASE
d59993,HYDROLASE
d59994,MEMBRANE PROTEIN
d59995,LYASE
d59996,HYDROLASE
d59997,VIRUS
d59998,TRANSFERASE
d59999,DNA BINDING PROTEIN/PROTEIN BINDING
d60000,OXIDOREDUCTASE
d60001,TRANSFERASE
d60002,OXIDOREDUCTASE
d60003,CELL CYCLE
d60004,TRANSPORT PROTEIN
d60005,CONTRACTILE PROTEIN
d60006,SPLICING
d60007,FLUORESCENT PROTEIN
d60008,HYDROLASE (SERINE PROTEINASE)
d60009,hydrolase/hydrolase inhibitor
d60010,Structural Genomics
d60011,HYDROLASE
d60012,TRANSFERASE
d60013,PROTEIN BINDING
d60014,TRANSFERASE
d60015,LUMINESCENT PROTEIN
d60016,TRANSFERASE
d60017,RNA
d60018,SIGNALING PROTEIN
d60019,CELL ADHESION
d60020,OXYGEN BINDING
d60021,OXIDOREDUCTASE
d60022,TRANSFERASE
d60023,TRANSFERASE
d60024,ISOMERASE
d60025,IMMUNE SYSTEM
d60026,HYDROLASE/HYDROLASE INHIBITOR
d60027,MEMBRANE PROTEIN
d60028,OXIDOREDUCTASE
d60029,ELECTRON TRANSPORT
d60030,ONCOGENE PROTEIN
d60031,TRANSFERASE
d60032,MEMBRANE PROTEIN
d60033,TRANSFERASE
d60034,ELECTRON TRANSPORT
d60035,TRANSCRIPTION
d60036,HYDROLASE
d60037,TRANSFERASE
d60038,SUGAR BINDING PROTEIN
d60039,CALCIUM/PHOSPHOLIPID-BINDING PROTEIN
d60040,VIRAL PROTEIN
d60041,SERINE PROTEASE
d60042,HYDROLASE
d60043,TRANSFERASE
d60044,NUCLEAR PROTEIN
d60045,TRANSFERASE
d60046,HYDROLASE
d60047,TRANSPORT PROTEIN
d60048,TRANSFERASE
d60049,METAL BINDING PROTEIN
d60050,LYASE
d60051,OXIDOREDUCTASE
d60052,LYASE
d60053,IMMUNE SYSTEM
d60054,LUMINESCENT PROTEIN
d60055,TRANSFERASE
d60056,UNKNOWN FUNCTION
d60057,DNA
d60058,ISOMERASE/ISOMERASE INHIBITOR
d60059,HYDROLASE
d60060,CELL ADHESION
d60061,APOPTOSIS
d60062,TRANSFERASE
d60063,TRANSFERASE
d60064,HYDROLASE
d60065,SIGNALING PROTEIN
d60066,IMMUNE SYSTEM
d60067,COMPLEX (BINDING PROTEIN/PEPTIDE)
d60068,IMMUNE SYSTEM
d60069,TRANSFERASE
d60070,TRANSFERASE
d60071,TRANSCRIPTION
d60072,RNA BINDING PROTEIN
d60073,OXIDOREDUCTASE
d60074,TRANSFERASE
d60075,TRANSFERASE
d60076,PHOTOSYNTHESIS
d60077,PROTEIN BINDING
d60078,ANTIBIOTIC
d60079,STRUCTURAL PROTEIN
d60080,TRANSFERASE
d60081,RIBOSOME
d60082,TRANSCRIPTION
d60083,IMMUNE SYSTEM
d60084,LIPID TRANSPORT
d60085,TRANSFERASE
d60086,IMMUNE SYSTEM
d60087,Oxidoreductase/Oxidoreductase inhibitor
d60088,HYDROLASE
d60089,HYDROLASE
d60090,TRANSCRIPTION
d60091,TRANSFERASE
d60092,TRANSFERASE
d60093,TRANSFERASE
d60094,COMPLEX (SERINE PROTEASE/INHIBITOR)
d60095,PROTEIN BINDING
d60096,TRANSFERASE/TRANSFERASE INHIBITOR
d60097,APOPTOSIS
d60098,LYASE
d60099,COMPLEX (OXIDOREDUCTASE/PEPTIDE)
d60100,HYDROLASE
d60101,TRANSFERASE/TRANSFERASE INHIBITOR
d60102,TRANSFERASE
d60103,TRANSFERASE
d60104,TRANSLATION
d60105,TRANSFERASE
d60106,DNA BINDING PROTEIN
d60107,TRANSLATION
d60108,OXIDOREDUCTASE
d60109,LYASE
d60110,TRANSCRIPTION
d60111,HYDROLASE
d60112,LIGASE
d60113,HYDROLASE
d60114,TRANSCRIPTION/TRANSCRIPTION inhibitor
d60115,SIGNALING PROTEIN
d60116,METAL BINDING PROTEIN
d60117,HYDROLASE
d60118,TRANSFERASE
d60119,IMMUNOGLOBULIN/HYDROLASE(O-GLYCOSYL)
d60120,MEMBRANE PROTEIN
d60121,IMMUNE SYSTEM
d60122,TRANSCRIPTION/DNA
d60123,IMMUNE SYSTEM
d60124,HORMONE
d60125,HYDROLASE
d60126,MEMBRANE PROTEIN
d60127,TRANSPORT PROTEIN
d60128,LIGASE
d60129,RIBOSOME
d60130,TRANSPORT PROTEIN
d60131,ISOMERASE
d60132,TRANSFERASE
d60133,TRANSPORT PROTEIN
d60134,RIBOSOME
d60135,recombination/DNA
d60136,TRANSFERASE
d60137,PROTEIN BINDING/INHIBITOR
d60138,TRANSFERASE
d60139,TRANSPORT PROTEIN
d60140,PROTEIN BINDING
d60141,ELECTRON TRANSPORT
d60142,CALCIUM BINDING
d60143,ELECTRON TRANSPORT
d60144,ACETYLCHOLINE-BINDING PROTEIN
d60145,HYDROLASE
d60146,LYASE
d60147,OXIDOREDUCTASE
d60148,HYDROLASE
d60149,OXYGEN TRANSPORT
d60150,HYDROLASE
d60151,LYASE
d60152,OXIDOREDUCTASE
d60153,OXIDOREDUCTASE
d60154,MEMBRANE PROTEIN
d60155,PROTEIN BINDING
d60156,HYDROLASE
d60157,ISOMERASE
d60158,TRANSCRIPTION
d60159,VIRAL PROTEIN
d60160,OXIDOREDUCTASE/DNA
d60161,LIPID BINDING PROTEIN
d60162,TRANSFERASE
d60163,TRANSFERASE
d60164,OXIDOREDUCTASE
d60165,HYDROLASE
d60166,HYDROLASE
d60167,HYDROLASE/HYDROLASE INHIBITOR
d60168,TRANSFERASE
d60169,OXIDOREDUCTASE
d60170,HYDROLASE/HYDROLASE INHIBITOR
d60171,Structural genomics
d60172,LIGASE
d60173,ELECTRON TRANSPORT
d60174,CYTOKINE
d60175,Transferase/Transferase Inhibitor
d60176,DNA
d60177,REPLICATION
d60178,LIPID BINDING PROTEIN
d60179,MEMBRANE PROTEIN
d60180,HYDROLASE
d60181,METAL BINDING PROTEIN
d60182,PROTEIN BINDING
d60183,CALCIUM BINDING PROTEIN
d60184,OXIDOREDUCTASE
d60185,SIGNALING PROTEIN
d60186,RNA
d60187,HYDROLASE
d60188,TRANSFERASE
d60189,LIGASE
d60190,HYDROLASE
d60191,LUMINESCENT PROTEIN
d60192,OXIDOREDUCTASE
d60193,HYDROLASE/HYDROLASE INHIBITOR
d60194,HYDROLASE
d60195,TRANSPORT PROTEIN
d60196,DNA BINDING PROTEIN
d60197,OXIDOREDUCTASE
d60198,LIGASE
d60199,OXIDOREDUCTASE
d60200,TRANSFERASE
d60201,OXIDOREDUCTASE
d60202,HYDROLASE/DNA
d60203,OXIDOREDUCTASE
d60204,HYDROLASE
d60205,ENDOCYTOSIS
d60206,OXIDOREDUCTASE
d60207,CELL CYCLE
d60208,HYDROLASE
d60209,STRUCTURAL GENOMICS
d60210,CHAPERONE
d60211,PROTEIN BINDING
d60212,NUCLEASE
d60213,OXIDOREDUCTASE
d60214,DNA BINDING PROTEIN
d60215,HYDROLASE
d60216,DNA
d60217,HYDROLASE
d60218,TRANSCRIPTION
d60219,HYDROLASE
d60220,IMMUNE SYSTEM
d60221,TRANSPORT PROTEIN
d60222,Transcription/Protein Binding
d60223,HYDROLASE
d60224,PROTEIN BINDING
d60225,HYDROLASE
d60226,DNA BINDING PROTEIN
d60227,TRANSCRIPTION
d60228,TOXIN
d60229,TRANSFERASE
d60230,LIGASE
d60231,RNA
d60232,TRANSFERASE
d60233,LYASE
d60234,TRANSFERASE
d60235,OXIDOREDUCTASE
d60236,OXIDOREDUCTASE
d60237,APOPTOSIS
d60238,OXIDOREDUCTASE
d60239,HYDROLASE
d60240,TRANSFERASE
d60241,Carbohydrate Binding Protein
d60242,RNA BINDING PROTEIN/RNA
d60243,DNA
d60244,UNKNOWN FUNCTION
d60245,IMMUNOGLOBULIN
d60246,TRANSFERASE
d60247,IMMUNE SYSTEM
d60248,TRANSCRIPTION
d60249,HYDROLASE
d60250,TRANSCRIPTION
d60251,TRANSCRIPTION
d60252,TRANSFERASE/TRANSFERASE INHIBITOR
d60253,TRANSFERASE
d60254,HYDROLASE
d60255,OXIDOREDUCTASE
d60256,Hydrolase/PROTEIN BINDING
d60257,LYASE
d60258,DE NOVO PROTEIN
d60259,HYDROLASE/HYDROLASE INHIBITOR
d60260,DNA
d60261,OXIDOREDUCTASE
d60262,STRUCTURAL GENOMICS
d60263,HYDROLASE (SERINE PROTEINASE)
d60264,TRANSPORT PROTEIN
d60265,STRUCTURAL PROTEIN
d60266,VIRAL PROTEIN
d60267,HYDROLASE
d60268,MEMBRANE PROTEIN
d60269,SUGAR BINDING PROTEIN
d60270,MEMBRANE PROTEIN
d60271,LYASE
d60272,LYASE
d60273,LYASE
d60274,TRANSPORT PROTEIN
d60275,PROTEIN BINDING
d60276,OXIDOREDUCTASE
d60277,DE NOVO PROTEIN
d60278,HYDROLASE
d60279,OXIDOREDUCTASE
d60280,REPLICATION
d60281,VIRAL PROTEIN
d60282,hydrolase/hydrolase inhibitor
d60283,CHAPERONE
d60284,LYASE
d60285,TRANSPORT PROTEIN
d60286,HYDROLASE(ENDORIBONUCLEASE)
d60287,LYASE
d60288,TRANSFERASE
d60289,DNA BINDING PROTEIN/DNA
d60290,LIGASE
d60291,MEMBRANE PROTEIN
d60292,transferase/transferase inhibitor
d60293,ENDOCYTOSIS
d60294,DNA BINDING PROTEIN
d60295,LIGASE
d60296,VIRAL PROTEIN
d60297,TRANSFERASE
d60298,IMMUNE SYSTEM
d60299,RNA
d60300,TRANSFERASE
d60301,HYDROLASE
d60302,IRON BINDING PROTEIN
d60303,HYDROLASE (O-GLYCOSYL)
d60304,LIGASE/LIGASE INHIBITOR
d60305,SUGAR BINDING PROTEIN
d60306,OXIDOREDUCTASE
d60307,HYDROLASE
d60308,OXIDOREDUCTASE
d60309,ISOMERASE
d60310,TRANSFERASE
d60311,MEMBRANE PROTEIN
d60312,DNA
d60313,TRANSFERASE
d60314,TRANSFERASE
d60315,HYDROLASE
d60316,VIRAL PROTEIN
d60317,TRANSPORT PROTEIN
d60318,DE NOVO PROTEIN
d60319,HYDROLASE
d60320,TRANSFERASE/INHIBITOR
d60321,HYDROLASE
d60322,TRANSCRIPTION
d60323,TRANSFERASE
d60324,TRANSPORT PROTEIN
d60325,DNA BINDING PROTEIN/DNA
d60326,RIBOSOME
d60327,STRUCTURAL PROTEIN
d60328,LYASE
d60329,CELL ADHESION/PROTEIN BINDING
d60330,IMMUNE SYSTEM
d60331,IMMUNE SYSTEM
d60332,TRANSFERASE
d60333,hydrolase/hydrolase inhibitor
d60334,TRANSFERASE/TRANSFERASE Inhibitor
d60335,GLYCOSIDASE
d60336,MUSCLE PROTEIN
d60337,RNA BINDING PROTEIN
d60338,HYDROLASE
d60339,TRANSCRIPTION/TRANSCRIPTION ACTIVATOR
d60340,HYDROLASE/HYDROLASE INHIBITOR
d60341,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR
d60342,SIGNALING PROTEIN/MEMBRANE PROTEIN
d60343,CELL CYCLE
d60344,OXIDOREDUCTASE
d60345,OXIDOREDUCTASE
d60346,HYDROLASE
d60347,HYDROLASE/HYDROLASE INHIBITOR
d60348,TRANSFERASE
d60349,GENE REGULATION
d60350,ELECTRON TRANSPORT
d60351,HYDROLASE
d60352,TRANSFERASE
d60353,HYDROLASE
d60354,ISOMERASE
d60355,HYDROLASE
d60356,RNA
d60357,HYDROLASE
d60358,HYDROLASE
d60359,CHAPERONE
d60360,SIGNALING PROTEIN
d60361,VIRAL PROTEIN
d60362,IMMUNE SYSTEM
d60363,PROTEIN TRANSPORT
d60364,transferase/peptide
d60365,HYDROLASE
d60366,LYASE
d60367,HYDROLASE
d60368,DNA
d60369,IMMUNE SYSTEM/CARBOHYDRATE BINDING PROTEIN
d60370,CHORISMATE MUTASE
d60371,Structural Genomics
d60372,IRON-BINDING PROTEIN
d60373,TRANSFERASE
d60374,TRANSCRIPTION
d60375,PEPTIDE BINDING PROTEIN
d60376,HYDROLASE
d60377,RIBOSOME
d60378,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR
d60379,HYDROLASE
d60380,IMMUNE SYSTEM
d60381,TRANSFERASE
d60382,PEPTIDE BINDING
d60383,HYDROLASE
d60384,TOXIN
d60385,TRANSFERASE
d60386,DNA BINDING PROTEIN
d60387,TRANSFERASE
d60388,hydrolase
d60389,TRANSFERASE
d60390,LYASE
d60391,CYTOKINE
d60392,HYDROLASE
d60393,Structural Genomics
d60394,Transferase/transferase inhibitor
d60395,SIGNALING PROTEIN
d60396,GENE REGULATION
d60397,TRANSFERASE
d60398,DNA BINDING PROTEIN
d60399,LIGASE
d60400,OXIDOREDUCTASE/REPRESSOR
d60401,TRANSFERASE/DNA
d60402,LIGASE
