structureId,experimentalTechnique,macromoleculeType,residueCount,resolution,structureMolecularWeight,crystallizationMethod,crystallizationTempK,densityMatthews,densityPercentSol,pdbxDetails,phValue,publicationYear,
4EBF,X-RAY DIFFRACTION,Protein,2004,2.3,222547.94,"VAPOR DIFFUSION, HANGING DROP",293,2.63,53.16,"25-30% PEG 3350, 100 mM KCl, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",7.5,2012,
 UNKNOWN FUNCTION,1WU8,X-RAY DIFFRACTION,Protein,768,2.6,87602.41,Microbach,291,3.9,68.3,"44 v/v (%) MPD, 0.1M Citr., 10M Dioxane, pH 5.9, Microbach, temperature 291K",5.9,,
2QZK,X-RAY DIFFRACTION,Protein,405,1.8,45648.35,"VAPOR DIFFUSION, SITTING DROP",293,2.8,56.04,"1.5M LITHIUM SULFATE, 0.1M HEPES BUFFER,  Crystals were grown with L124671 and inh 416198 was back soaked, pH 7.50, VAPOR DIFFUSION, SITTING DROP, temperature 293K",7.5,2007,
1FGK,X-RAY DIFFRACTION,Protein,620,2,70617.23,,,2.68,54,"16% PEG 10000, 0.3 M (NH4)2SO4, 100 MM BIS-TRIS, PH 6.5",6.5,1996,
4M0K,X-RAY DIFFRACTION,Protein,796,1.4,89947.88,"VAPOR DIFFUSION, SITTING DROP",298,2.09,41.12,"0.2 M calcium chloride, 0.1 M HEPES:NAOH, pH 7.5, 30%  PEG 4000, VAPOR DIFFUSION, SITTING DROP, temperature 298K",7.5,,
1NNA,X-RAY DIFFRACTION,Protein,387,2.5,43606.66,,,2.97,58.54,,,1993,
1RTP,X-RAY DIFFRACTION,Protein,327,2,35680.49,,,2.08,40.79,,,1994,
5C6S,X-RAY DIFFRACTION,Protein,130,1.3,15523.38,"VAPOR DIFFUSION, HANGING DROP",293,2.06,40.36,"25% PEG 3350, 0.2M LiSO4, 0.1M HEPES pH7.5",7.5,,
5FBK,X-RAY DIFFRACTION,Protein,1136,2.1,131040.57,"VAPOR DIFFUSION, HANGING DROP",294,2.51,51.02,"10% PEG 8000, 200 mM MgCl2, 10 mM CaCl2 and 100 mM Tris-HCl",7,2016,
1NWU,X-RAY DIFFRACTION,Protein,1448,2.2,167456.03,,277,2.65,53.28,"PEG8000, NaCl, Na-citrate buffer, pH 5.1, VAPOR DIFFUSION, HANGING DROP, temperature 277K, pH 5.10",5.1,2003,
4JUW,X-RAY DIFFRACTION,,4682,2.86,876737.62,"VAPOR DIFFUSION, HANGING DROP",294,,,"100mM MES pH 6.3, 75mM KCl, 6.0% PEG 20K, VAPOR DIFFUSION, HANGING DROP, temperature 294K",6.3,2013,
2GX2,X-RAY DIFFRACTION,Protein,2892,1.8,332673.66,"VAPOR DIFFUSION, HANGING DROP",295,2.12,42.01,"PEG 4000, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 295K",8.5,2007,
4Y9R,X-RAY DIFFRACTION,Protein,1242,2.4,145407.33,"VAPOR DIFFUSION, HANGING DROP",292,2.5,50.88,"PEG 4000, Sodium Acetate, HEPES",7,2016,
3WQT,X-RAY DIFFRACTION,Protein,1936,2.2,221579.62,"VAPOR DIFFUSION, SITTING DROP",293,1.86,33.72,"0.2M sodium bromide, 19% PEG3350, 0.1M Tris, pH 7.8, VAPOR DIFFUSION, SITTING DROP, temperature 293K",7.8,2014,
3GQL,X-RAY DIFFRACTION,Protein,978,2.8,112965.65,,277,3.27,62.39,"PEG 8000, (NH4)2SO4, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 277K",6.5,2009,
5JJC,X-RAY DIFFRACTION,Protein,1368,2.01,147273.83,VAPOR DIFFUSION,289,2.59,52.6,"sodium phosphate monobasic monohydrate, potassium phosphate dibasic",8.2,2017,
3EFV,X-RAY DIFFRACTION,Protein,1848,1.9,201514.94,,298,3.19,61.42,"2M Na Formate, 0.1M Na Acetate pH4.6, VAPOR DIFFUSION, SITTING DROP, temperature 298K",4.6,2013,
4XHX,X-RAY DIFFRACTION,Protein,658,2.1,74297.34,"VAPOR DIFFUSION, SITTING DROP",298,2.52,51.13,"7% PEG 8000, 0.1M IMIDAZOLE",8,,
2W0L,X-RAY DIFFRACTION,Protein,444,2.2,47683.51,,,2.84,56.64,,,,
1NIL,SOLUTION NMR,Protein,18,,1943.18,,,,,,,1995,
4YFN,X-RAY DIFFRACTION,Protein,8222,3.82,921148.88,"VAPOR DIFFUSION, HANGING DROP",300,3.35,63.3,"0.1M HEPES-HCL (PH7), 0.2M CaACETATE, 15% PEG400",,2015,
2EYW,SOLUTION NMR,Protein,78,,8900.87,,,,,,,2007,
2PTP,X-RAY DIFFRACTION,,0,,23505.89,,,2.32,47.08,,,1977,
3G3Y,X-RAY DIFFRACTION,Protein#DNA,539,2.5,66011.13,"VAPOR DIFFUSION, SITTING DROP",293,2.27,45.9,"reservoir: 40mM MgAc, 50mM sodium cacodylate pH 6.0, 20% (v/v) MPD; complex solution: 50mM KCl, 10mM KH2PO4/K2HPO4 pH 7.0, 1mM MgCl2, VAPOR DIFFUSION, SITTING DROP, temperature 293K",6,2010,
3KLZ,X-RAY DIFFRACTION,Protein,1400,2.5,158774.08,"VAPOR DIFFUSION, HANGING DROP",291,3.16,61.11,"0.02M MOPS, PH 6.8, 29% (W/V) PEG 550MME, 120MM SODIUM FORMATE, VAPOR DIFFUSION, HANGING DROP, TEMPERATURE 291K",7.5,2010,
5T4N,X-RAY DIFFRACTION,Protein,730,2.7,82109.69,"VAPOR DIFFUSION, HANGING DROP",277,4.11,70.04,"0.1 M Sodium Cacodylate pH 5.8, 150 mM Calcium Chloride",5.8,,
4DM2,X-RAY DIFFRACTION,Protein,1131,1.95,130442.51,"VAPOR DIFFUSION, HANGING DROP",295,2.37,48.13,"1.5M ammonium phosphate, 0.1M MES buffer, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 295K",6.5,,
4R4P,X-RAY DIFFRACTION,RNA,186,3.07,60247.31,"VAPOR DIFFUSION, HANGING DROP",293,4.62,73.38,"0.1 M Sodium citrate.2H20, 2M Ammonium sulfate, 10% 1,3 butanediol, pH 5.8, VAPOR DIFFUSION, HANGING DROP, temperature 293K",5.8,2015,
5A9X,X-RAY DIFFRACTION,Protein,607,3.8,67882.52,,,2.14,42.5,"20% (W/V) PEG3350, 0.2 M SODIUM FLUORIDE",,2015,
2E+025,X-RAY DIFFRACTION,Protein,347,2.7,39061.96,"VAPOR DIFFUSION, HANGING DROP",277,2.99,58.91,"14% PEG 3350, 0.1M MES, 75mM MgCl2, 0.15M KCl, pH 6.25, VAPOR DIFFUSION, HANGING DROP, temperature 277K",6.25,2007,
1R2G,X-RAY DIFFRACTION,Protein,218,2.7,24645.97,"VAPOR DIFFUSION, HANGING DROP",277,2.33,47.28,"1.9M Ammonium Sulfate, 50mM Sodium Citrate, pH 5.5, VAPOR DIFFUSION, HANGING DROP, temperature 277K",5.5,2004,
4GIF,X-RAY DIFFRACTION,Protein,45,2.8,5102.93,EVAPORATION,293,3.49,64.8,"18-20% PEG 8000, 100 mM HEPES, pH 7.5, 3.9 mM HEGA-9, EVAPORATION, temperature 293.0K",7.5,2012,
5X4V,X-RAY DIFFRACTION,Protein,366,2,41424.23,"VAPOR DIFFUSION, HANGING DROP",293,2.22,44.66,"100mM Sodium Citrate pH 5.0, 10% PEG 20000, 5mM ApCpp, 2mM MgCl2",5,2017,
2W3U,X-RAY DIFFRACTION,Protein,188,1.96,21544.37,,,2.3,46.5,"20% PEG4000, 0.2M (NH4)2SO4, 0.1M NAOAC PH 4.1, 293 K",4.1,2010,
 UNKNOWN FUNCTION,2G6T,X-RAY DIFFRACTION,Protein,612,3,73499.76,,293,3.84,67.99,"PEG 8000, Ethylene Glycol, VAPOR DIFFUSION, SITTING DROP, temperature 293K, pH 7.50",7.5,,
5Y9H,X-RAY DIFFRACTION,Protein,1398,2.8,150192.92,"VAPOR DIFFUSION, HANGING DROP",293,2.73,55.02,PEG4000,,2017,
4P1X,X-RAY DIFFRACTION,Protein,2420,2.4,276979.03,"VAPOR DIFFUSION, SITTING DROP",293,3.44,64.23,"40% MPD, 0.1M sodium acetate (pH 4.8), 0.15 M di-sodium hydrogen phosphate",4.8,2014,
3HJC,X-RAY DIFFRACTION,Protein,444,2.5,52120.35,"VAPOR DIFFUSION, HANGING DROP",293,3.32,62.91,"2.4 M Ammonium Sulfate  0.1 M Citric Acid pH 5.5  2 mM ATP, VAPOR DIFFUSION, HANGING DROP, temperature 293K",5.5,,
4WXV,X-RAY DIFFRACTION,Protein,558,2.1,61325.3,"VAPOR DIFFUSION, HANGING DROP",298,2.28,45.97,"0.2M ammonium sulfate, 0.1 sodium cacodylate trihydrate, 30% PEG-8000",6.5,2015,
5HZ0,X-RAY DIFFRACTION,Protein,646,2.56,71905.59,"VAPOR DIFFUSION, HANGING DROP",293,3.9,68.5,"0.1M MES monohydrate pH 6.0, 22%(v/v) polyethylene glycol (PEG) 400.",,,
5Q0Y,X-RAY DIFFRACTION,Protein,494,2.2,58817.64,"evaporation, hanging drop",298,2.56,51.89,25% w/v PEG 1500,,2018,
1J2L,X-RAY DIFFRACTION,Protein,70,1.7,7682.68,VAPOR DIFFUSION,293,1.86,33.2,"PEG 8000, ammonium sulfate, pH 7.0, VAPOR DIFFUSION, temperature 293K",7,2003,
4I98,X-RAY DIFFRACTION,Protein,526,2.8,59748.94,"VAPOR DIFFUSION, HANGING DROP",293,3.8,67.59,"200mM trimethylamine N-oxide, 100mM Tris-HCl, 20% polyethylene glycol monomethyl ether 2000, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",8.5,2013,
3UD2,X-RAY DIFFRACTION,Protein,978,2.21,109567.36,"VAPOR DIFFUSION, SITTING DROP",283.15,2.5,50.76,"25% ethanol, 0.1 M Tris pH 7, VAPOR DIFFUSION, SITTING DROP, temperature 283.15K",7,2012,
5B1F,X-RAY DIFFRACTION,Protein,129,2.3,14389.6,BATCH MODE,293,2.07,40.69,NaCl,,,
1ZUN,X-RAY DIFFRACTION,Protein,759,2.7,87232.38,"VAPOR DIFFUSION, HANGING DROP",295,2.34,47.45,"PEG 4000, tris hydrochloric acid, sodium acetate, guanosine diphosphate, 5'-adenyly-diphosphate-monothiophosphate, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 295K",8.5,2006,
1ZY6,SOLID-STATE NMR,Protein,38,,4329.36,,,,,,,2006,
3NUE,X-RAY DIFFRACTION,Protein,928,2.5,103968.18,"VAPOR DIFFUSION, SITTING DROP",295,3.94,68.8,"20MM BTP, 150MM NACL, 0.5MM TCEP, 0.005%(V/V) THESIT, 0.2MM PEP, 0.1MM MNCL2, 0.1M NA HEPES, 0.8M NAK PHOSPHATE, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 295K",7.5,2010,
3IU9,X-RAY DIFFRACTION,Protein,288,1.75,31735.32,"VAPOR DIFFUSION, HANGING DROP",298,2.69,54.21,"0.1 M Bis-Tris, pH 5.5, 1.3 M AMS, 15% glycerol, vapor diffusion, hanging drop, temperature 298K",5.5,2010,
3AV1,X-RAY DIFFRACTION,Protein#DNA,1306,2.5,202198.56,"VAPOR DIFFUSION, HANGING DROP",293,2.63,53.15,"potassium cacodylate, potassium chloride, manganese chloride, pH 6.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",6,2011,
4XDI,X-RAY DIFFRACTION,Protein,270,1.89,30399.85,,,,,,,2015,
3WPB,X-RAY DIFFRACTION,Protein,802,2.4,90504.52,"VAPOR DIFFUSION, SITTING DROP",293,2.4,48.75,"14-10% PEG 3350, 0.2 M ammonium sulfate, 0.1 M Na acetate pH 4.5, 10% ethylene glycol   , VAPOR DIFFUSION, SITTING DROP, temperature 293K",4.5,2015,
4D7U,X-RAY DIFFRACTION,Protein,454,1.56,47277.84,,,1.99,38,"0.2M AMMONIUM CITRATE, 20% PEG 3350, PH 5.1",5.1,2015,
9JDW,X-RAY DIFFRACTION,Protein,386,2.5,44444.61,,,3.83,68,pH 7.0,7,1999,
2CY8,X-RAY DIFFRACTION,Protein,453,2.3,49030.2,VAPOR DIFFUSION,,2.42,48,VAPOR DIFFUSION,,,
1H1Z,X-RAY DIFFRACTION,Protein,456,3.4,48956.88,,,2.77,55.65,pH 7.50,7.5,2003,
1K4J,X-RAY DIFFRACTION,Protein,230,2.5,27792.16,"VAPOR DIFFUSION, HANGING DROP",291,2,38.55,"PEG 4000, 2-propanol, MES, EDTA, beta-mercaptoethanol, NaN3, pH 6.1, VAPOR DIFFUSION, HANGING DROP, temperature 291K",6.1,2002,
1WR0,SOLUTION NMR,Protein,81,,9207.31,,,,,,,2005,
3GKO,X-RAY DIFFRACTION,Protein,301,1.6,34430.88,"VAPOR DIFFUSION, HANGING DROP",293,2.91,57.8,"50mM Tris, 30mM KCl, 6% Poloxamer P188, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 293.0K",7.5,2009,
4Y0X,X-RAY DIFFRACTION,Protein,375,1.74,41500.55,"VAPOR DIFFUSION, HANGING DROP",291,1.86,33.73,"100 mM Hepes, 35% w/v PEG 4000, 200 mM CaCl2, pH 7.5",7.5,2015,
4M8N,X-RAY DIFFRACTION,Protein,3192,3.29,364709.5,"VAPOR DIFFUSION, HANGING DROP",294.15,2.48,50.32,"0.1 M HEPES, 5% 2-propanol, 25% PEG 3350, 3.6% polypropylene glycol P400, pH 7.3, VAPOR DIFFUSION, HANGING DROP, temperature 294.15K",7.3,2013,
4QW0,X-RAY DIFFRACTION,Protein,6614,2.9,733808.62,"VAPOR DIFFUSION, HANGING DROP",293,3.67,66.52,"20 MM MGAC2, 13% MPD, PH 6.8, VAPOR DIFFUSION, HANGING DROP, TEMPERATURE 293K",6.8,2015,
4E+075,X-RAY DIFFRACTION,Protein,2142,2.85,230834.91,"VAPOR DIFFUSION, HANGING DROP",293,4.55,72.96,"2ul of 15mg/ml protein, 2ul of 24% PEG3350, 0.2M Ammonium formate, pH 8, VAPOR DIFFUSION, HANGING DROP, temperature 293K",8,2013,
2IJ2,X-RAY DIFFRACTION,Protein,940,1.2,108511.17,"VAPOR DIFFUSION, SITTING DROP",293,2.52,51.1,"PEG and Magnesium sulphate, pH 6.0, VAPOR DIFFUSION, SITTING DROP, temperature 293K",6,2007,
5VFN,X-RAY DIFFRACTION,Protein,242,2.39,28527.12,"VAPOR DIFFUSION, HANGING DROP",291,2.77,55.67,"30% polyethylene glycol 4000, 100 mM TrisHCl pH 8.5 and 150 mM lithium sulfate",8.5,2017,
3K1F,X-RAY DIFFRACTION,Protein,4762,4.3,533438.38,"VAPOR DIFFUSION, HANGING DROP",298,5.82,78.88,"800 mM sodium ammonium tartrate, 100 mM HEPES pH 7.5, 5 mM DTT, VAPOR DIFFUSION, HANGING DROP, temperature 298K",7.5,2009,
2C7U,X-RAY DIFFRACTION,Protein,770,2.38,89615.66,,,2.7,54.37,pH 6.50,6.5,2006,
4I7Z,X-RAY DIFFRACTION,Protein,976,2.8,116430.99,"VAPOR DIFFUSION, HANGING DROP",277,6.18,80.11,"15-20 MG/ML B6F DIMER MIXED WITH EQUAL VOLUME OF CRYSTALLIZATION BUFFER, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 277K",7.5,2013,
4JJZ,X-RAY DIFFRACTION,Protein,1118,2.5,121937.79,"VAPOR DIFFUSION, HANGING DROP",278,2.16,43.09,"75 mM Potassium Maleate Buffer pH 7.6, 1 mM dithiothreitol, 40% Ammonium Sulfate, 2% PEG 1000, vapor diffusion, hanging drop, temperature 278K",7.6,2012,
1EOJ,X-RAY DIFFRACTION,Protein,303,2.1,35085.3,"VAPOR DIFFUSION, HANGING DROP",291,2.62,53.04,"PEG 4000, Potassium sulfate, citric acid pH 5.5, VAPOR DIFFUSION, HANGING DROP, temperature 291K",5.5,2000,
4UIG,X-RAY DIFFRACTION,Protein,136,2,14954.7,,,2.32,47,"0.01 M MAGNESIUM SULFATE, 0.05 M SODIUM CACODYLATE PH 6.0, 1.8 M LITHIUM SULFATE",6,2015,
2AEQ,X-RAY DIFFRACTION,Protein,826,3,93207.49,,,3.5,64.2,pH 7.5,7.5,2006,
5MEM,X-RAY DIFFRACTION,Protein,843,1.78,98135.98,BATCH MODE,289,2.5,50.82,"N,N-bis(2-hydroxyethyl)-2-aminoethanesulfonic acid, EDTA, DTT, IMP",6.8,2017,
5FDQ,X-RAY DIFFRACTION,Protein,1182,1.9,140041.84,"VAPOR DIFFUSION, SITTING DROP",298,2.55,51.8,"PAA-5100, HEPES(7.5), magnesium chloride, beta-octyl glucoside",7.5,2016,
1YV5,X-RAY DIFFRACTION,Protein,374,2,43559.75,"VAPOR DIFFUSION, SITTING DROP",293,2.4,53,"40% PEG 300, 0.1M phosphate-citrate, pH 4.2, VAPOR DIFFUSION, SITTING DROP, temperature 293K",4.2,2006,
243L,X-RAY DIFFRACTION,Protein,164,1.75,18811.44,,,2.8,48.3,pH 6.8,6.8,1998,
4KNK,X-RAY DIFFRACTION,Protein,450,1.12,51259.03,"VAPOR DIFFUSION, HANGING DROP",295,2.09,41.23,"0.1 M MES/imidazole, pH 6.5, 0.02 M sodium formate, 0.02 M ammonium acetate, 0.02 M sodium citrate, 0.02 M racemic sodium/potassium tartrate, 0.02 M sodium oxamate, 12.5% w/v PEG1000, 12.5% w/v PEG3350, 12.5% w/v MPD, VAPOR DIFFUSION, HANGING DROP, temperature 295K",6.5,2014,
4E3A,X-RAY DIFFRACTION,Protein,704,1.63,78234.47,"VAPOR DIFFUSION, SITTING DROP",298,2.19,43.74,"0.2M ammonium acetate, 0.1M Bis:Tris:HCl, pH 6.5,25% PEG3350, VAPOR DIFFUSION, SITTING DROP, temperature 298K",6.5,,
3R5K,X-RAY DIFFRACTION,Protein,624,2.86,71188.24,"VAPOR DIFFUSION, HANGING DROP",293,3.05,59.74,"2.1M Formate, 100mM Citrate, 1.25mM Cystamine, pH 5.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",5,2011,
3C9M,X-RAY DIFFRACTION,Protein,348,3.4,39558.25,,,3.43,64.19,,,2008,
4LU2,X-RAY DIFFRACTION,,202,1.94,23848.3,"VAPOR DIFFUSION, SITTING DROP",293,1.76,29.96,"0.02M Calcium chloride, 30% v/v MPD and 0.1 M calcium chloride, pH 8.0, VAPOR DIFFUSION, SITTING DROP, temperature 293K",8,,
2OW7,X-RAY DIFFRACTION,Protein,1045,1.77,120761.99,"VAPOR DIFFUSION, HANGING DROP",298,2.15,42.83,"Tris, PEG 6K, MPD, NaCl, pH 7, VAPOR DIFFUSION, HANGING DROP, temperature 298K",7,2008,
2JQ6,SOLUTION NMR,Protein,139,,15033.06,,,,,,,2007,
4ZKU,X-RAY DIFFRACTION,Protein,474,2.5,50302.55,"VAPOR DIFFUSION, HANGING DROP",293,2.95,58.33,"40% PEG 4000, 0.1M CAPS pH 10.0",10,2016,
4ND9,X-RAY DIFFRACTION,Protein,286,2.3,30609.09,"VAPOR DIFFUSION, SITTING DROP",293,2.42,49.21,"PEG8000 20%, NaCl 0.2M, phosphate-citrate, pH 4.2, VAPOR DIFFUSION, SITTING DROP, temperature 293K",4.2,,
4PE1,X-RAY DIFFRACTION,Protein,184,1.58,21822.82,"VAPOR DIFFUSION, SITTING DROP",295,2.13,42.22,"40% 2-methyl-2,4-pentanediol, 0.1M Hepes,7.5mM CaCl2, 4mM SC124",7,2014,
4YVA,X-RAY DIFFRACTION,Protein,215,1.8,23619.54,"VAPOR DIFFUSION, SITTING DROP",294.15,2.22,44.62,"24% PEG 8000, 0.2M Ammonium sulfate",6.5,2016,
1MFZ,X-RAY DIFFRACTION,Protein,1744,2.8,194791.17,"VAPOR DIFFUSION, HANGING DROP",323,2.55,51.74,"10% PEG 3350, 20% isopropanol, 0.1 M Na citrate, pH 5.6, VAPOR DIFFUSION, HANGING DROP, temperature 323K",5.6,2003,
1IB8,SOLUTION NMR,Protein,164,,18192.96,,,,,,,2001,
5IL5,X-RAY DIFFRACTION,Protein,624,2.91,69890.77,"VAPOR DIFFUSION, SITTING DROP",293,,,"25% PEG3350, 0.1M Hepes pH7.5",,,
3P90,X-RAY DIFFRACTION,Protein,241,2.3,26961.71,hanging drop,293,2.15,42.69,"0.1 M Bis-Tris, 30% (v/v) PEG 550 monomethyl ether, 0.05 M calcium chloride, 5 mM DTT, pH 6.5, hanging drop, temperature 293K",6.5,2012,
4XUK,X-RAY DIFFRACTION,Protein,582,2,64830.45,"VAPOR DIFFUSION, SITTING DROP",277,2.45,49.89,"0.12 M Monosaccharides(0.2 M D-glucose, 0.2 M D-mannose,0.2 M D-galactose, 0.2 M L-fucose, 0.2 M D-xylose, 0.2 M N-acetyl-D-glucosamine), 0.1 M Buffer system 1(1M MES/Imidazole), pH 6.5, 12.5% (w/v) PEG1000, 12.5% (w/v) PEG3350, 12.5% (v/v) MPD",6.5,2015,
 Transferase,1ZG3,X-RAY DIFFRACTION,Protein,358,2.35,40809.37,VAPOR DIFFUSION,277.16,3,58,"PEG 8000, amonium acetate, DTT, pH 5.5, temperature 277.16K, VAPOR DIFFUSION",5.5,2006,
4KXA,X-RAY DIFFRACTION,Protein,888,2.4,106497.4,"VAPOR DIFFUSION, SITTING DROP",277,3.38,63.58,"1.6 M sodium citrate pH 7.0, VAPOR DIFFUSION, SITTING DROP, temperature 277K",7,2013,
2OUY,X-RAY DIFFRACTION,Protein,662,1.9,77118.82,"VAPOR DIFFUSION, HANGING DROP",277,2.07,40.49,"D564N and D674A mutants were crystallized against a well buffer of 0.1 M HEPES, pH 7.5, 0.1 M MgCl2, 100 mM BME, and 13% PEG3350. The D564N crystals were soaked in 20 mM cAMP in a buffer of 16% PEG8000, 0.1 M HEPES, pH 7.5, 0.1 M MgCl2, 60 mM BME for 1.5 hours, VAPOR DIFFUSION, HANGING DROP, temperature 277K",7.5,2007,
2YM5,X-RAY DIFFRACTION,Protein,289,2.03,33444.45,,,2.7,54.15,"DL-MALIC ACID, PEG 3350.",,2011,
2KHB,SOLUTION NMR,Protein,29,,2917.34,,,,,,,,
2BSH,X-RAY DIFFRACTION,Protein,250,1.9,29273.62,,,2.21,45,"1.8 M AMMONIUM SULFATE, 0.1 M SODIUM BICARBONATE PH 10.5, 50 MM MAGNESIUM CHLORIDE HANGING-DROP VAPOR DIFFUSION AT 4 CELSIUS DEGREE",,2005,
2YD1,X-RAY DIFFRACTION,Protein,212,1.8,23322.21,,,1.83,34,"25% W/V PEG 1500, 0.1M SPG SYSTEM, 35MM AMMONIUM SULPHATE, PH 5.0",5,2011,
3O44,X-RAY DIFFRACTION,Protein,8302,2.88,920097.38,"VAPOR DIFFUSION, HANGING DROP",293,3.75,67.19,"20 mM HEPES, 10% PEG 2000, 20 mM Cobalt(III) Hexammine Choride, 1 mM C10E8, pH 7.6, vapor diffusion, hanging drop, temperature 293K",7.6,2011,
2BWD,X-RAY DIFFRACTION,Protein,340,1.15,37545.11,,,2,36.6,"1.6 M AMMONIUM SULPHATE, 100MM SODIUM ACETATE, PH 4.75",4.75,2005,
1H0B,X-RAY DIFFRACTION,Protein,512,1.8,57483.55,,,2.49,46,"0.1M HEPES, PH7.5, 20% PEG10000, pH 7.50",7.5,2002,
4AST,X-RAY DIFFRACTION,Protein,2768,2.38,311008.75,,,2.65,53.7,"0.2M AMMONIUM ACETATE, 0.1M SODIUM ACETATE PH 4.6, 30% PEG4000",4.6,2013,
4TUL,X-RAY DIFFRACTION,Protein,451,1.4,48907.46,"VAPOR DIFFUSION, SITTING DROP",293,2.19,43.86,"MES, PEG 5000, NH4SO4",,2015,
2E+016,X-RAY DIFFRACTION,Protein,530,2,60818.34,MICROBATCH,295,3.18,61.38,"1.8M AMMONIUM SULFATE, 0.1M MES, 0.01M Co CHLORIDE, pH 6.5, microbatch, temperature 295K",6.5,,
4NVE,X-RAY DIFFRACTION,Protein,289,1.54,33663.2,"VAPOR DIFFUSION, HANGING DROP",283,2.96,58.49,"Compound soaked into crystal grown in equal volume of 500mM MES buffer (pH 6.0) and 25% MPD, vapor diffusion, hanging drop, temperature 283K",6,2014,
1M66,X-RAY DIFFRACTION,Protein,366,1.9,39807.7,"VAPOR DIFFUSION, SITTING DROP",298,3.32,62.91,"Na Citrate, TEA, DTT, EDTA, VAPOR DIFFUSION, SITTING DROP, temperature 298.0K",,2002,
5DJN,X-RAY DIFFRACTION,Protein,188,2.82,21406.12,EVAPORATION,289,4.72,73.92,"1.7M ammonium sulphate, 8% (v/v) isopropanol",7,2016,
2GU4,X-RAY DIFFRACTION,Protein,526,1.8,59027.14,"VAPOR DIFFUSION, HANGING DROP",291,1.99,38.08,"15% PEG 20000, 0.1 M MES (pH 6.5) , VAPOR DIFFUSION, HANGING DROP, temperature 291K",6.5,2006,
2IZP,X-RAY DIFFRACTION,Protein,606,2.1,66174.44,,,1.9,35,"[BIPD]=4 MG/ML, 20-25% PEG 4000, 5MM NICKEL CHLORIDE, 0.1M GLYCINE, 0.1M SODIUM CACODYLATE PH 5.0-5.5.",5.8,2006,
5LS8,X-RAY DIFFRACTION,DNA,32,1.78,14641.25,"VAPOR DIFFUSION, SITTING DROP",291,2.65,53.67,"125uM ss DNA, 10mM KCl, 250uM rac-Ru(TAP)2(dppz-11-CN).Cl2, 0.1 M KCl + 0.0125 M MgSO4.6H2O + 0.025 M TRIS hydrochloride pH 7.5, 5% v/v peg monomethyl ether 550",7.5,,
2YMT,X-RAY DIFFRACTION,Protein,133,1.8,14795.86,,,2.53,51.42,"100 MM MES/IMIDAZOLE PH 6.5, 0.02 M 1,6-HEXANEDIOL, 0.02 M 1-BUTANOL, 0.02 M (RS)-1,2- PROPANEDIOL, 0.02 M 2-PROPANOL, 0.02 M 1,4-BUTANEDIOL, 0.02 M 1,3-PROPANEDIOL, 10% (W/V) PEG 20000 AND 24% (V/V) PEG400 (USING A 2:1 RATIO OF PROTEIN TO MOTHER LIQUOR)",6.5,2013,
5TV8,X-RAY DIFFRACTION,Protein,480,2.55,56271.12,"VAPOR DIFFUSION, HANGING DROP",282,3.77,67.4,20-30% PEG3350,,2017,
5FYM,X-RAY DIFFRACTION,Protein,956,2,112287.63,,,2.84,56.76,"0.1M HEPES PH 7.4, 0.2M TRIMETHYLAMINE N-OXIDE, 15% PEG3350",7.4,,
4V1G,X-RAY DIFFRACTION,Protein,258,1.55,26713.13,,,3.36,63.38,pH 8,8,2015,
4OS4,X-RAY DIFFRACTION,Protein,260,2,29515.01,"VAPOR DIFFUSION, HANGING DROP",291,2.01,38.84,"21% PEG4000, 15% glycerol, 0.17 M ammonium sulfate, 0.1 M sodium acetate, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 291K",4.5,2014,
5OQA,X-RAY DIFFRACTION,Protein,224,1.53,25724.27,BATCH MODE,293,2.31,46.83,"0.2 M lithium sulfate,  0.1 M Tris-Cl pH 8.5,  23-30% PEG 3350",,2017,
5CJ9,X-RAY DIFFRACTION,Protein,146,2.41,16519.04,"VAPOR DIFFUSION, SITTING DROP",296,2.91,57.68,"5%(v/v) 1,2-propanediol, 0.1 M bicine pH 8.0",8,2016,
5GT2,X-RAY DIFFRACTION,Protein,1228,2.09,139259.7,"VAPOR DIFFUSION, HANGING DROP",293,2.5,50.89,"0.2 M Ammonium sulfate, 20% PEG3350 and 0.1 M Bis-Tris pH 5.5",,2017,
4CA3,SOLUTION NMR,Protein,88,,9217.26,,,,,,,2014,
2GB1,SOLUTION NMR,Protein,56,,6201.78,,,,,,,1991,
2VH2,X-RAY DIFFRACTION,Protein,510,3.4,58023.51,,,3.6,66,"1.5M LICL2, 10% PEG6000, 100 MM BICINE, PH8.4",,2008,
